Pavarde                  Vardas              Galutinis (Vid.)    Galutinis (Med.)    
PavardeNR90285           VardasNR90285       2.89                3.00                
PavardeNR49622           VardasNR49622       2.89                3.00                
PavardeNR9528            VardasNR9528        2.89                3.00                
PavardeNR52762           VardasNR52762       2.89                2.60                
PavardeNR9681            VardasNR9681        2.89                3.40                
PavardeNR88151           VardasNR88151       2.89                3.00                
PavardeNR49422           VardasNR49422       2.89                2.60                
PavardeNR82380           VardasNR82380       2.89                3.00                
PavardeNR82376           VardasNR82376       2.89                3.40                
PavardeNR82374           VardasNR82374       2.89                3.40                
PavardeNR58294           VardasNR58294       2.89                3.00                
PavardeNR49388           VardasNR49388       2.89                2.60                
PavardeNR5129            VardasNR5129        2.89                3.00                
PavardeNR49379           VardasNR49379       2.89                2.60                
PavardeNR5430            VardasNR5430        2.89                2.60                
PavardeNR22475           VardasNR22475       2.89                3.00                
PavardeNR60141           VardasNR60141       2.89                2.60                
PavardeNR83013           VardasNR83013       2.89                2.60                
PavardeNR23345           VardasNR23345       2.89                3.80                
PavardeNR60274           VardasNR60274       2.89                2.60                
PavardeNR50320           VardasNR50320       2.89                3.00                
PavardeNR28037           VardasNR28037       2.89                3.40                
PavardeNR60291           VardasNR60291       2.89                3.00                
PavardeNR88297           VardasNR88297       2.89                3.40                
PavardeNR50201           VardasNR50201       2.89                2.60                
PavardeNR50190           VardasNR50190       2.89                3.00                
PavardeNR32908           VardasNR32908       2.89                2.60                
PavardeNR22248           VardasNR22248       2.89                3.00                
PavardeNR52589           VardasNR52589       2.89                2.60                
PavardeNR5396            VardasNR5396        2.89                3.40                
PavardeNR8608            VardasNR8608        2.89                2.60                
PavardeNR88269           VardasNR88269       2.89                3.40                
PavardeNR88261           VardasNR88261       2.89                3.00                
PavardeNR50052           VardasNR50052       2.89                2.60                
PavardeNR50028           VardasNR50028       2.89                3.00                
PavardeNR82784           VardasNR82784       2.89                3.00                
PavardeNR22132           VardasNR22132       2.89                3.00                
PavardeNR9501            VardasNR9501        2.89                3.00                
PavardeNR44249           VardasNR44249       2.89                3.40                
PavardeNR65989           VardasNR65989       2.89                3.80                
PavardeNR85175           VardasNR85175       2.89                3.40                
PavardeNR78060           VardasNR78060       2.89                3.00                
PavardeNR2569            VardasNR2569        2.89                2.60                
PavardeNR26025           VardasNR26025       2.89                3.00                
PavardeNR31555           VardasNR31555       2.89                2.60                
PavardeNR67210           VardasNR67210       2.89                2.60                
PavardeNR44265           VardasNR44265       2.89                2.60                
PavardeNR42746           VardasNR42746       2.89                2.60                
PavardeNR11582           VardasNR11582       2.89                2.20                
PavardeNR44226           VardasNR44226       2.89                3.00                
PavardeNR57037           VardasNR57037       2.89                2.60                
PavardeNR44204           VardasNR44204       2.89                3.00                
PavardeNR44195           VardasNR44195       2.89                3.00                
PavardeNR87177           VardasNR87177       2.89                3.00                
PavardeNR58881           VardasNR58881       2.89                3.80                
PavardeNR78883           VardasNR78883       2.89                2.60                
PavardeNR94548           VardasNR94548       2.89                3.40                
PavardeNR57220           VardasNR57220       2.89                2.60                
PavardeNR65852           VardasNR65852       2.89                2.60                
PavardeNR12180           VardasNR12180       2.89                3.00                
PavardeNR95393           VardasNR95393       2.89                3.00                
PavardeNR19149           VardasNR19149       2.89                3.40                
PavardeNR54199           VardasNR54199       2.89                2.60                
PavardeNR44614           VardasNR44614       2.89                2.60                
PavardeNR95342           VardasNR95342       2.89                3.00                
PavardeNR31388           VardasNR31388       2.89                2.20                
PavardeNR87142           VardasNR87142       2.89                3.00                
PavardeNR79120           VardasNR79120       2.89                3.00                
PavardeNR43994           VardasNR43994       2.89                2.60                
PavardeNR95336           VardasNR95336       2.89                2.20                
PavardeNR31411           VardasNR31411       2.89                3.00                
PavardeNR31448           VardasNR31448       2.89                3.00                
PavardeNR19067           VardasNR19067       2.89                2.60                
PavardeNR32430           VardasNR32430       2.89                3.00                
PavardeNR94256           VardasNR94256       2.89                3.00                
PavardeNR11570           VardasNR11570       2.89                2.20                
PavardeNR31481           VardasNR31481       2.89                3.00                
PavardeNR42668           VardasNR42668       2.89                2.60                
PavardeNR25861           VardasNR25861       2.89                2.60                
PavardeNR57087           VardasNR57087       2.89                2.60                
PavardeNR66597           VardasNR66597       2.89                3.00                
PavardeNR57166           VardasNR57166       2.89                3.00                
PavardeNR66662           VardasNR66662       2.89                2.60                
PavardeNR18369           VardasNR18369       2.89                3.00                
PavardeNR78441           VardasNR78441       2.89                3.40                
PavardeNR42976           VardasNR42976       2.89                2.60                
PavardeNR2864            VardasNR2864        2.89                3.40                
PavardeNR31903           VardasNR31903       2.89                2.60                
PavardeNR25941           VardasNR25941       2.89                3.40                
PavardeNR18402           VardasNR18402       2.89                3.40                
PavardeNR31905           VardasNR31905       2.89                3.40                
PavardeNR32189           VardasNR32189       2.89                2.60                
PavardeNR2717            VardasNR2717        2.89                2.60                
PavardeNR85094           VardasNR85094       2.89                3.40                
PavardeNR87276           VardasNR87276       2.89                2.60                
PavardeNR32065           VardasNR32065       2.89                3.40                
PavardeNR87251           VardasNR87251       2.89                3.40                
PavardeNR32009           VardasNR32009       2.89                2.20                
PavardeNR8131            VardasNR8131        2.89                3.00                
PavardeNR57214           VardasNR57214       2.89                3.00                
PavardeNR18807           VardasNR18807       2.89                3.00                
PavardeNR87316           VardasNR87316       2.89                3.40                
PavardeNR78110           VardasNR78110       2.89                2.60                
PavardeNR2970            VardasNR2970        2.89                3.40                
PavardeNR78702           VardasNR78702       2.89                2.60                
PavardeNR78112           VardasNR78112       2.89                2.60                
PavardeNR42833           VardasNR42833       2.89                3.00                
PavardeNR78121           VardasNR78121       2.89                2.60                
PavardeNR11036           VardasNR11036       2.89                3.40                
PavardeNR31786           VardasNR31786       2.89                3.00                
PavardeNR78597           VardasNR78597       2.89                3.00                
PavardeNR57085           VardasNR57085       2.89                3.80                
PavardeNR87300           VardasNR87300       2.89                3.00                
PavardeNR66537           VardasNR66537       2.89                3.40                
PavardeNR78528           VardasNR78528       2.89                3.00                
PavardeNR42885           VardasNR42885       2.89                2.20                
PavardeNR53986           VardasNR53986       2.89                3.00                
PavardeNR94763           VardasNR94763       2.89                2.20                
PavardeNR79812           VardasNR79812       2.89                3.40                
PavardeNR67573           VardasNR67573       2.89                2.60                
PavardeNR64823           VardasNR64823       2.89                3.00                
PavardeNR54290           VardasNR54290       2.89                3.40                
PavardeNR65480           VardasNR65480       2.89                3.00                
PavardeNR64827           VardasNR64827       2.89                3.00                
PavardeNR67616           VardasNR67616       2.89                3.00                
PavardeNR45190           VardasNR45190       2.89                3.00                
PavardeNR77803           VardasNR77803       2.89                2.60                
PavardeNR41948           VardasNR41948       2.89                3.00                
PavardeNR67897           VardasNR67897       2.89                2.60                
PavardeNR42325           VardasNR42325       2.89                2.60                
PavardeNR93621           VardasNR93621       2.89                2.20                
PavardeNR67896           VardasNR67896       2.89                2.60                
PavardeNR42307           VardasNR42307       2.89                3.00                
PavardeNR87487           VardasNR87487       2.89                2.20                
PavardeNR30773           VardasNR30773       2.89                3.00                
PavardeNR11271           VardasNR11271       2.89                3.00                
PavardeNR45344           VardasNR45344       2.89                2.20                
PavardeNR56853           VardasNR56853       2.89                3.80                
PavardeNR85252           VardasNR85252       2.89                3.40                
PavardeNR65190           VardasNR65190       2.89                3.40                
PavardeNR42072           VardasNR42072       2.89                3.80                
PavardeNR77716           VardasNR77716       2.89                3.00                
PavardeNR42163           VardasNR42163       2.89                3.40                
PavardeNR45452           VardasNR45452       2.89                3.40                
PavardeNR79625           VardasNR79625       2.89                3.00                
PavardeNR45532           VardasNR45532       2.89                3.80                
PavardeNR45538           VardasNR45538       2.89                2.60                
PavardeNR31255           VardasNR31255       2.89                3.00                
PavardeNR3297            VardasNR3297        2.89                2.20                
PavardeNR67525           VardasNR67525       2.89                2.60                
PavardeNR44770           VardasNR44770       2.89                2.20                
PavardeNR42526           VardasNR42526       2.89                3.00                
PavardeNR84949           VardasNR84949       2.89                3.00                
PavardeNR53589           VardasNR53589       2.89                3.00                
PavardeNR93977           VardasNR93977       2.89                3.40                
PavardeNR42492           VardasNR42492       2.89                2.60                
PavardeNR23989           VardasNR23989       2.89                3.00                
PavardeNR11035           VardasNR11035       2.89                3.00                
PavardeNR8001            VardasNR8001        2.89                2.60                
PavardeNR93868           VardasNR93868       2.89                3.00                
PavardeNR64700           VardasNR64700       2.89                2.60                
PavardeNR95504           VardasNR95504       2.89                3.00                
PavardeNR32896           VardasNR32896       2.89                3.00                
PavardeNR12230           VardasNR12230       2.89                3.80                
PavardeNR42432           VardasNR42432       2.89                3.40                
PavardeNR79282           VardasNR79282       2.89                3.00                
PavardeNR65586           VardasNR65586       2.89                3.00                
PavardeNR53757           VardasNR53757       2.89                2.20                
PavardeNR2418            VardasNR2418        2.89                3.00                
PavardeNR73681           VardasNR73681       2.91                3.20                
PavardeNR8957            VardasNR8957        2.91                3.20                
PavardeNR59379           VardasNR59379       2.91                2.40                
PavardeNR14146           VardasNR14146       2.91                2.40                
PavardeNR73623           VardasNR73623       2.91                2.80                
PavardeNR58752           VardasNR58752       2.91                2.40                
PavardeNR82794           VardasNR82794       2.91                2.40                
PavardeNR12514           VardasNR12514       2.91                3.20                
PavardeNR12023           VardasNR12023       2.91                2.80                
PavardeNR23053           VardasNR23053       2.91                2.80                
PavardeNR69000           VardasNR69000       2.91                2.00                
PavardeNR72655           VardasNR72655       2.91                2.80                
PavardeNR66843           VardasNR66843       2.91                2.40                
PavardeNR77475           VardasNR77475       2.91                2.40                
PavardeNR82677           VardasNR82677       2.91                2.80                
PavardeNR85284           VardasNR85284       2.91                2.40                
PavardeNR15067           VardasNR15067       2.91                2.80                
PavardeNR82731           VardasNR82731       2.91                2.00                
PavardeNR68141           VardasNR68141       2.91                3.20                
PavardeNR68080           VardasNR68080       2.91                2.80                
PavardeNR59904           VardasNR59904       2.91                2.80                
PavardeNR77293           VardasNR77293       2.91                2.80                
PavardeNR74179           VardasNR74179       2.91                2.00                
PavardeNR74168           VardasNR74168       2.91                2.80                
PavardeNR14907           VardasNR14907       2.91                2.40                
PavardeNR73451           VardasNR73451       2.91                2.40                
PavardeNR77282           VardasNR77282       2.91                3.20                
PavardeNR67268           VardasNR67268       2.91                2.80                
PavardeNR67280           VardasNR67280       2.91                2.00                
PavardeNR22401           VardasNR22401       2.91                2.80                
PavardeNR24200           VardasNR24200       2.91                2.40                
PavardeNR59875           VardasNR59875       2.91                2.40                
PavardeNR9178            VardasNR9178        2.91                2.80                
PavardeNR59677           VardasNR59677       2.91                2.80                
PavardeNR22580           VardasNR22580       2.91                2.80                
PavardeNR59684           VardasNR59684       2.91                2.80                
PavardeNR12647           VardasNR12647       2.91                2.80                
PavardeNR56952           VardasNR56952       2.91                2.80                
PavardeNR12288           VardasNR12288       2.91                2.00                
PavardeNR22254           VardasNR22254       2.91                2.80                
PavardeNR17913           VardasNR17913       2.91                2.40                
PavardeNR22803           VardasNR22803       2.91                2.80                
PavardeNR60333           VardasNR60333       2.91                2.40                
PavardeNR67746           VardasNR67746       2.91                2.40                
PavardeNR83555           VardasNR83555       2.91                3.20                
PavardeNR55772           VardasNR55772       2.91                2.40                
PavardeNR68385           VardasNR68385       2.91                3.20                
PavardeNR55747           VardasNR55747       2.91                2.40                
PavardeNR18288           VardasNR18288       2.91                2.40                
PavardeNR59477           VardasNR59477       2.91                3.20                
PavardeNR83510           VardasNR83510       2.91                2.40                
PavardeNR58731           VardasNR58731       2.91                2.00                
PavardeNR83011           VardasNR83011       2.91                3.20                
PavardeNR67609           VardasNR67609       2.91                2.80                
PavardeNR14285           VardasNR14285       2.91                2.80                
PavardeNR9297            VardasNR9297        2.91                2.80                
PavardeNR62970           VardasNR62970       2.91                3.20                
PavardeNR79556           VardasNR79556       2.91                2.40                
PavardeNR11273           VardasNR11273       2.91                2.40                
PavardeNR80794           VardasNR80794       2.91                2.00                
PavardeNR13156           VardasNR13156       2.91                2.80                
PavardeNR71058           VardasNR71058       2.91                3.20                
PavardeNR19464           VardasNR19464       2.91                2.40                
PavardeNR57429           VardasNR57429       2.91                2.80                
PavardeNR63284           VardasNR63284       2.91                2.80                
PavardeNR7862            VardasNR7862        2.91                2.80                
PavardeNR63183           VardasNR63183       2.91                3.20                
PavardeNR19380           VardasNR19380       2.91                3.20                
PavardeNR16050           VardasNR16050       2.91                2.80                
PavardeNR63019           VardasNR63019       2.91                2.80                
PavardeNR79567           VardasNR79567       2.91                2.40                
PavardeNR57387           VardasNR57387       2.91                3.20                
PavardeNR62864           VardasNR62864       2.91                2.80                
PavardeNR62833           VardasNR62833       2.91                2.80                
PavardeNR10335           VardasNR10335       2.91                2.80                
PavardeNR13602           VardasNR13602       2.91                2.80                
PavardeNR62808           VardasNR62808       2.91                2.80                
PavardeNR13641           VardasNR13641       2.91                2.00                
PavardeNR20889           VardasNR20889       2.91                3.20                
PavardeNR62710           VardasNR62710       2.91                2.80                
PavardeNR65713           VardasNR65713       2.91                2.40                
PavardeNR75290           VardasNR75290       2.91                2.40                
PavardeNR62677           VardasNR62677       2.91                2.40                
PavardeNR69812           VardasNR69812       2.91                2.80                
PavardeNR8277            VardasNR8277        2.91                2.80                
PavardeNR2               VardasNR2           2.91                2.00                
PavardeNR79972           VardasNR79972       2.91                2.80                
PavardeNR19860           VardasNR19860       2.91                2.40                
PavardeNR64739           VardasNR64739       2.91                2.40                
PavardeNR64796           VardasNR64796       2.91                2.80                
PavardeNR64345           VardasNR64345       2.91                2.80                
PavardeNR10925           VardasNR10925       2.91                3.60                
PavardeNR70483           VardasNR70483       2.91                2.80                
PavardeNR80226           VardasNR80226       2.91                2.80                
PavardeNR8327            VardasNR8327        2.91                2.40                
PavardeNR64873           VardasNR64873       2.91                2.40                
PavardeNR10787           VardasNR10787       2.91                2.80                
PavardeNR16472           VardasNR16472       2.91                2.80                
PavardeNR79150           VardasNR79150       2.91                2.80                
PavardeNR57522           VardasNR57522       2.91                2.40                
PavardeNR76068           VardasNR76068       2.91                2.00                
PavardeNR57824           VardasNR57824       2.91                3.20                
PavardeNR57838           VardasNR57838       2.91                2.80                
PavardeNR19637           VardasNR19637       2.91                3.20                
PavardeNR16545           VardasNR16545       2.91                2.40                
PavardeNR84532           VardasNR84532       2.91                2.00                
PavardeNR63662           VardasNR63662       2.91                2.00                
PavardeNR84838           VardasNR84838       2.91                2.80                
PavardeNR56320           VardasNR56320       2.91                2.40                
PavardeNR80691           VardasNR80691       2.91                2.80                
PavardeNR79583           VardasNR79583       2.91                2.80                
PavardeNR58325           VardasNR58325       2.91                2.40                
PavardeNR61553           VardasNR61553       2.91                3.20                
PavardeNR78749           VardasNR78749       2.91                2.40                
PavardeNR74805           VardasNR74805       2.91                2.00                
PavardeNR61393           VardasNR61393       2.91                2.40                
PavardeNR61384           VardasNR61384       2.91                3.20                
PavardeNR15407           VardasNR15407       2.91                2.40                
PavardeNR56101           VardasNR56101       2.91                2.40                
PavardeNR69360           VardasNR69360       2.91                2.40                
PavardeNR17087           VardasNR17087       2.91                3.20                
PavardeNR78500           VardasNR78500       2.91                2.00                
PavardeNR85074           VardasNR85074       2.91                2.80                
PavardeNR61164           VardasNR61164       2.91                2.00                
PavardeNR56099           VardasNR56099       2.91                3.20                
PavardeNR12941           VardasNR12941       2.91                3.20                
PavardeNR58340           VardasNR58340       2.91                2.80                
PavardeNR61023           VardasNR61023       2.91                2.80                
PavardeNR72471           VardasNR72471       2.91                2.80                
PavardeNR74546           VardasNR74546       2.91                2.80                
PavardeNR82512           VardasNR82512       2.91                2.80                
PavardeNR17197           VardasNR17197       2.91                2.80                
PavardeNR8110            VardasNR8110        2.91                2.80                
PavardeNR21966           VardasNR21966       2.91                2.40                
PavardeNR76932           VardasNR76932       2.91                2.00                
PavardeNR21984           VardasNR21984       2.91                3.20                
PavardeNR8592            VardasNR8592        2.91                2.80                
PavardeNR18516           VardasNR18516       2.91                2.40                
PavardeNR58398           VardasNR58398       2.91                3.20                
PavardeNR78983           VardasNR78983       2.91                2.80                
PavardeNR79144           VardasNR79144       2.91                2.40                
PavardeNR69756           VardasNR69756       2.91                3.20                
PavardeNR8188            VardasNR8188        2.91                2.80                
PavardeNR20996           VardasNR20996       2.91                3.20                
PavardeNR21005           VardasNR21005       2.91                2.80                
PavardeNR15816           VardasNR15816       2.91                2.80                
PavardeNR75180           VardasNR75180       2.91                2.40                
PavardeNR85494           VardasNR85494       2.91                2.80                
PavardeNR62421           VardasNR62421       2.91                3.20                
PavardeNR57314           VardasNR57314       2.91                2.40                
PavardeNR81516           VardasNR81516       2.91                2.80                
PavardeNR15706           VardasNR15706       2.91                3.60                
PavardeNR81721           VardasNR81721       2.91                2.40                
PavardeNR82612           VardasNR82612       2.91                2.80                
PavardeNR19005           VardasNR19005       2.91                3.20                
PavardeNR75040           VardasNR75040       2.91                2.80                
PavardeNR78972           VardasNR78972       2.91                3.20                
PavardeNR81861           VardasNR81861       2.91                2.40                
PavardeNR61862           VardasNR61862       2.91                2.80                
PavardeNR15679           VardasNR15679       2.91                3.20                
PavardeNR61813           VardasNR61813       2.91                2.80                
PavardeNR75016           VardasNR75016       2.91                2.40                
PavardeNR71894           VardasNR71894       2.91                2.80                
PavardeNR61707           VardasNR61707       2.91                2.40                
PavardeNR84297           VardasNR84297       2.91                2.40                
PavardeNR13874           VardasNR13874       2.91                2.80                
PavardeNR47055           VardasNR47055       2.91                2.40                
PavardeNR33400           VardasNR33400       2.91                3.20                
PavardeNR88208           VardasNR88208       2.91                2.80                
PavardeNR29589           VardasNR29589       2.91                2.80                
PavardeNR45964           VardasNR45964       2.91                2.80                
PavardeNR45959           VardasNR45959       2.91                2.40                
PavardeNR29612           VardasNR29612       2.91                3.20                
PavardeNR52592           VardasNR52592       2.91                2.80                
PavardeNR49288           VardasNR49288       2.91                2.80                
PavardeNR43481           VardasNR43481       2.91                2.00                
PavardeNR54193           VardasNR54193       2.91                2.80                
PavardeNR44382           VardasNR44382       2.91                3.20                
PavardeNR45969           VardasNR45969       2.91                2.80                
PavardeNR39288           VardasNR39288       2.91                3.20                
PavardeNR1102            VardasNR1102        2.91                2.80                
PavardeNR88344           VardasNR88344       2.91                3.60                
PavardeNR93329           VardasNR93329       2.91                3.20                
PavardeNR50507           VardasNR50507       2.91                2.40                
PavardeNR40493           VardasNR40493       2.91                2.40                
PavardeNR7236            VardasNR7236        2.91                2.80                
PavardeNR2349            VardasNR2349        2.91                2.80                
PavardeNR29082           VardasNR29082       2.91                2.80                
PavardeNR26858           VardasNR26858       2.91                2.40                
PavardeNR40627           VardasNR40627       2.91                2.80                
PavardeNR553             VardasNR553         2.91                2.80                
PavardeNR97637           VardasNR97637       2.91                2.40                
PavardeNR32285           VardasNR32285       2.91                2.80                
PavardeNR42867           VardasNR42867       2.91                3.20                
PavardeNR36540           VardasNR36540       2.91                3.20                
PavardeNR37763           VardasNR37763       2.91                2.80                
PavardeNR2952            VardasNR2952        2.91                2.40                
PavardeNR88114           VardasNR88114       2.91                2.40                
PavardeNR54654           VardasNR54654       2.91                2.40                
PavardeNR34434           VardasNR34434       2.91                2.80                
PavardeNR97183           VardasNR97183       2.91                2.80                
PavardeNR45378           VardasNR45378       2.91                2.40                
PavardeNR2250            VardasNR2250        2.91                3.20                
PavardeNR97712           VardasNR97712       2.91                2.80                
PavardeNR35313           VardasNR35313       2.91                2.40                
PavardeNR46485           VardasNR46485       2.91                2.40                
PavardeNR90411           VardasNR90411       2.91                2.80                
PavardeNR27102           VardasNR27102       2.91                2.80                
PavardeNR41254           VardasNR41254       2.91                2.80                
PavardeNR27998           VardasNR27998       2.91                3.20                
PavardeNR49652           VardasNR49652       2.91                2.80                
PavardeNR136             VardasNR136         2.91                2.40                
PavardeNR87248           VardasNR87248       2.91                3.20                
PavardeNR48734           VardasNR48734       2.91                2.80                
PavardeNR911             VardasNR911         2.91                2.80                
PavardeNR91112           VardasNR91112       2.91                2.40                
PavardeNR45735           VardasNR45735       2.91                2.40                
PavardeNR1654            VardasNR1654        2.91                2.80                
PavardeNR99698           VardasNR99698       2.91                3.60                
PavardeNR98908           VardasNR98908       2.91                2.80                
PavardeNR29062           VardasNR29062       2.91                3.60                
PavardeNR33352           VardasNR33352       2.91                2.80                
PavardeNR93167           VardasNR93167       2.91                2.80                
PavardeNR30110           VardasNR30110       2.91                2.80                
PavardeNR33711           VardasNR33711       2.91                2.80                
PavardeNR32092           VardasNR32092       2.91                3.20                
PavardeNR2214            VardasNR2214        2.91                2.00                
PavardeNR30154           VardasNR30154       2.91                2.80                
PavardeNR5669            VardasNR5669        2.91                2.40                
PavardeNR32023           VardasNR32023       2.91                2.40                
PavardeNR38844           VardasNR38844       2.91                2.80                
PavardeNR36420           VardasNR36420       2.91                2.80                
PavardeNR32038           VardasNR32038       2.91                2.80                
PavardeNR38183           VardasNR38183       2.91                3.20                
PavardeNR39807           VardasNR39807       2.91                3.20                
PavardeNR86402           VardasNR86402       2.91                2.80                
PavardeNR38181           VardasNR38181       2.91                2.40                
PavardeNR39210           VardasNR39210       2.91                2.00                
PavardeNR1617            VardasNR1617        2.91                2.00                
PavardeNR93276           VardasNR93276       2.91                2.80                
PavardeNR48880           VardasNR48880       2.91                2.80                
PavardeNR30013           VardasNR30013       2.91                2.40                
PavardeNR28945           VardasNR28945       2.91                2.80                
PavardeNR46907           VardasNR46907       2.91                2.80                
PavardeNR3151            VardasNR3151        2.91                2.40                
PavardeNR36814           VardasNR36814       2.91                2.80                
PavardeNR4954            VardasNR4954        2.91                2.80                
PavardeNR30687           VardasNR30687       2.91                2.40                
PavardeNR5597            VardasNR5597        2.91                2.40                
PavardeNR37686           VardasNR37686       2.91                2.40                
PavardeNR97415           VardasNR97415       2.91                2.40                
PavardeNR1915            VardasNR1915        2.91                2.80                
PavardeNR53953           VardasNR53953       2.91                2.80                
PavardeNR29047           VardasNR29047       2.91                2.80                
PavardeNR46862           VardasNR46862       2.91                2.40                
PavardeNR4482            VardasNR4482        2.91                2.80                
PavardeNR45246           VardasNR45246       2.91                2.80                
PavardeNR51341           VardasNR51341       2.91                2.40                
PavardeNR97776           VardasNR97776       2.91                2.40                
PavardeNR92920           VardasNR92920       2.91                2.40                
PavardeNR96293           VardasNR96293       2.91                2.40                
PavardeNR49969           VardasNR49969       2.91                2.40                
PavardeNR35404           VardasNR35404       2.91                2.40                
PavardeNR34701           VardasNR34701       2.91                2.40                
PavardeNR49980           VardasNR49980       2.91                2.40                
PavardeNR37206           VardasNR37206       2.91                2.40                
PavardeNR25654           VardasNR25654       2.91                2.40                
PavardeNR45053           VardasNR45053       2.91                2.80                
PavardeNR41543           VardasNR41543       2.91                2.40                
PavardeNR35361           VardasNR35361       2.91                2.80                
PavardeNR48419           VardasNR48419       2.91                3.20                
PavardeNR49525           VardasNR49525       2.91                3.20                
PavardeNR4621            VardasNR4621        2.91                2.80                
PavardeNR92761           VardasNR92761       2.91                2.40                
PavardeNR97564           VardasNR97564       2.91                3.20                
PavardeNR45061           VardasNR45061       2.91                2.00                
PavardeNR46171           VardasNR46171       2.91                2.80                
PavardeNR5904            VardasNR5904        2.91                2.80                
PavardeNR35373           VardasNR35373       2.91                2.40                
PavardeNR48082           VardasNR48082       2.91                3.20                
PavardeNR88869           VardasNR88869       2.91                3.20                
PavardeNR36066           VardasNR36066       2.91                2.40                
PavardeNR31117           VardasNR31117       2.91                3.20                
PavardeNR2552            VardasNR2552        2.91                2.80                
PavardeNR519             VardasNR519         2.91                3.20                
PavardeNR48081           VardasNR48081       2.91                3.20                
PavardeNR40853           VardasNR40853       2.91                2.80                
PavardeNR42792           VardasNR42792       2.91                3.20                
PavardeNR46302           VardasNR46302       2.91                2.40                
PavardeNR26331           VardasNR26331       2.91                2.40                
PavardeNR39271           VardasNR39271       2.91                2.00                
PavardeNR47661           VardasNR47661       2.91                2.80                
PavardeNR93642           VardasNR93642       2.91                2.80                
PavardeNR5039            VardasNR5039        2.91                3.20                
PavardeNR54469           VardasNR54469       2.91                2.80                
PavardeNR7180            VardasNR7180        2.91                2.80                
PavardeNR25006           VardasNR25006       2.91                2.80                
PavardeNR95522           VardasNR95522       2.91                3.20                
PavardeNR3346            VardasNR3346        2.91                2.40                
PavardeNR5831            VardasNR5831        2.91                2.40                
PavardeNR37291           VardasNR37291       2.91                3.20                
PavardeNR51287           VardasNR51287       2.91                2.40                
PavardeNR98156           VardasNR98156       2.91                3.20                
PavardeNR26603           VardasNR26603       2.91                2.80                
PavardeNR1132            VardasNR1132        2.91                2.80                
PavardeNR74892           VardasNR74892       2.94                3.00                
PavardeNR21851           VardasNR21851       2.94                3.00                
PavardeNR68070           VardasNR68070       2.94                2.60                
PavardeNR64397           VardasNR64397       2.94                3.40                
PavardeNR39518           VardasNR39518       2.94                3.00                
PavardeNR80186           VardasNR80186       2.94                3.40                
PavardeNR87283           VardasNR87283       2.94                3.40                
PavardeNR4682            VardasNR4682        2.94                3.40                
PavardeNR39205           VardasNR39205       2.94                3.40                
PavardeNR44011           VardasNR44011       2.94                2.60                
PavardeNR74136           VardasNR74136       2.94                2.60                
PavardeNR49585           VardasNR49585       2.94                3.00                
PavardeNR18906           VardasNR18906       2.94                3.00                
PavardeNR40852           VardasNR40852       2.94                3.40                
PavardeNR36832           VardasNR36832       2.94                3.40                
PavardeNR85117           VardasNR85117       2.94                3.00                
PavardeNR78852           VardasNR78852       2.94                3.00                
PavardeNR8756            VardasNR8756        2.94                3.00                
PavardeNR74889           VardasNR74889       2.94                3.00                
PavardeNR29107           VardasNR29107       2.94                3.40                
PavardeNR635             VardasNR635         2.94                2.60                
PavardeNR47813           VardasNR47813       2.94                2.20                
PavardeNR39466           VardasNR39466       2.94                3.40                
PavardeNR18681           VardasNR18681       2.94                3.00                
PavardeNR69205           VardasNR69205       2.94                2.60                
PavardeNR8767            VardasNR8767        2.94                3.00                
PavardeNR36845           VardasNR36845       2.94                3.00                
PavardeNR71722           VardasNR71722       2.94                3.00                
PavardeNR88536           VardasNR88536       2.94                2.60                
PavardeNR94491           VardasNR94491       2.94                3.40                
PavardeNR4471            VardasNR4471        2.94                2.60                
PavardeNR54075           VardasNR54075       2.94                3.00                
PavardeNR4500            VardasNR4500        2.94                3.00                
PavardeNR37958           VardasNR37958       2.94                2.60                
PavardeNR99548           VardasNR99548       2.94                2.60                
PavardeNR58838           VardasNR58838       2.94                3.40                
PavardeNR41959           VardasNR41959       2.94                3.00                
PavardeNR54338           VardasNR54338       2.94                3.40                
PavardeNR6126            VardasNR6126        2.94                3.00                
PavardeNR56936           VardasNR56936       2.94                2.60                
PavardeNR7995            VardasNR7995        2.94                3.00                
PavardeNR6069            VardasNR6069        2.94                3.00                
PavardeNR72994           VardasNR72994       2.94                2.60                
PavardeNR98820           VardasNR98820       2.94                3.40                
PavardeNR31737           VardasNR31737       2.94                3.80                
PavardeNR61168           VardasNR61168       2.94                3.40                
PavardeNR94438           VardasNR94438       2.94                3.00                
PavardeNR88712           VardasNR88712       2.94                3.00                
PavardeNR46066           VardasNR46066       2.94                3.40                
PavardeNR64580           VardasNR64580       2.94                3.00                
